cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season,class
6.71,x,h,n,f,e,,w,14.12,14.02,,s,n,u,w,f,f,,d,u,e
7.46,x,t,n,f,s,,g,5.14,7.85,,y,n,,,f,f,,d,w,p
4.04,b,y,n,f,,c,u,6.99,4.59,s,s,w,,,f,f,,d,a,p
7.45,x,i,n,f,a,c,n,7.33,7.8,,i,n,,k,t,z,k,d,u,p
3.03,f,y,n,f,a,d,p,5.82,3.84,,i,n,,,f,f,,h,u,e
13.97,x,e,n,t,p,,o,8.42,29.01,c,,y,,,f,f,,d,u,p
2.88,b,h,r,f,s,c,n,5.31,6.86,,y,l,,,t,e,u,g,a,p
2.61,f,y,n,f,a,d,p,7.28,3.58,,i,n,,,f,f,,l,u,e
9.63,f,y,w,f,e,c,k,14.87,11.65,,s,w,,,t,e,,d,a,e
1.81,x,i,k,f,a,,p,4.07,2.52,,,w,,,f,f,p,g,u,p
8.51,f,,y,f,a,c,w,6.18,16.74,,,w,,,f,f,,d,u,e
7.83,x,d,n,t,p,,y,5.49,12.03,,,e,,,f,f,,d,u,e
4.17,x,y,n,f,s,,y,3.89,5.85,,,w,,,f,f,,d,a,e
6.88,x,t,n,f,a,d,n,6.35,5.32,,t,w,,,t,l,,d,u,e
9.31,x,e,y,f,x,c,w,6.93,15.25,,,w,,,f,f,,d,a,e
2.28,x,,b,f,,d,u,5.61,3.91,,,w,,,f,f,,d,w,e
5.38,p,y,g,f,,,k,8.86,11.65,,s,w,,,t,z,,d,s,p
7.69,x,d,y,t,p,,y,5.45,12.27,,,e,,,f,f,,d,u,e
16.86,x,h,n,t,p,,o,10.28,29.39,c,,y,,,f,f,,d,a,p
7.53,f,,g,f,s,c,g,6.07,18.37,b,,u,,,f,f,,g,w,e
15.64,x,y,n,t,e,,w,9.7,16.33,,,w,,,t,,,g,a,e
6.68,c,t,n,f,e,,w,12.95,12.01,,s,n,u,w,f,f,,d,u,e
11.27,f,,g,f,e,,w,10.59,15.02,,,w,u,w,t,e,,d,a,p
8.62,f,s,k,f,a,c,w,4.57,14.14,,,w,,,f,f,,d,u,e
6.84,x,y,n,f,e,c,p,6.73,10.83,,y,n,,,f,f,,d,a,e
7.46,b,t,w,f,e,c,w,13.66,13.98,,y,w,u,w,t,l,,d,u,p
3.88,f,,u,f,a,,w,3.95,6.87,,,w,,,f,f,,d,u,p
17.54,x,k,w,t,d,d,n,6.26,30.04,,,w,,,f,f,,d,w,p
8.87,f,e,b,f,,c,b,4.92,20.64,,,w,,,t,f,,d,a,e
0.66,f,,o,f,d,,o,4.49,1.08,,,o,,,f,f,w,g,a,p
8.37,x,e,n,f,a,,n,8.96,12.8,s,,n,,n,f,f,,h,a,p
5.78,o,k,o,f,,c,y,1.72,15.59,,,y,,,f,f,,d,a,p
4.74,f,,y,f,s,d,y,5.96,12.99,,i,y,,,f,f,,d,a,p
3.84,x,t,y,f,a,c,y,5.65,6.36,,g,o,,,f,f,,g,a,p
9.73,x,h,n,t,p,,y,8.7,17.76,,,n,,w,t,p,,d,u,e
1.51,f,i,k,f,a,,p,2.63,2.18,,,w,,,f,f,p,g,a,p
8.72,f,y,e,f,s,c,y,7.31,18.52,,y,e,,,f,f,,d,a,p
5.12,f,k,y,f,p,,n,3.06,5.33,,k,n,,,t,f,,d,u,p
2.06,b,,n,f,a,,g,5.12,2.12,,s,n,,,f,f,,d,u,p
5.12,x,t,n,f,e,,w,12.53,12.84,,s,w,u,w,f,f,,d,a,e
8.72,o,,e,f,f,f,f,3.71,27.21,,g,n,,,f,f,,d,u,p
3.0,o,,g,f,f,f,f,3.38,14.86,,g,n,,,f,f,,d,u,p
0.8,x,g,e,f,a,,n,4.3,1.08,,h,k,,,f,f,,d,a,p
4.73,f,y,g,f,s,,g,4.74,9.0,,,w,,,f,f,,d,a,e
2.75,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u,p
7.8,f,,w,f,x,c,w,9.44,9.83,r,i,w,,,f,f,,d,u,p
10.04,s,t,p,t,d,c,p,7.95,16.68,,,p,,,t,f,,d,u,p
5.05,x,h,n,f,x,c,n,5.48,5.93,,s,n,,,t,r,,d,s,e
5.89,s,,n,t,d,c,w,6.92,6.51,,,n,,,f,f,,d,a,p
7.88,f,d,n,t,d,c,y,6.52,9.67,,,e,,,f,f,,d,a,p
5.65,s,,n,f,d,c,w,5.55,8.13,,s,w,,,f,f,,h,a,e
14.58,x,s,k,f,a,d,y,6.37,21.0,,,w,,,f,f,w,d,a,e
4.96,f,i,n,f,e,c,n,4.37,12.87,,,w,,,t,r,,w,u,e
7.77,p,s,w,f,e,c,p,16.88,11.58,,s,w,,,t,e,,u,s,e
5.36,c,,g,f,f,f,f,4.98,19.29,,,n,,,f,f,,d,s,e
5.82,s,d,n,t,d,c,w,5.64,8.38,,,n,,,f,f,,d,a,p
11.34,x,y,y,f,,,w,6.8,25.09,b,,n,,w,t,e,,d,w,e
7.63,f,,y,f,a,c,w,6.94,15.38,,,g,,,f,f,,d,a,e
5.87,f,s,n,f,x,c,w,7.41,10.92,,s,n,,,f,f,,l,a,e
6.55,x,,g,t,p,,g,12.85,28.22,,y,w,,,f,f,,d,u,e
3.73,f,t,o,f,a,d,y,4.78,4.55,,k,n,,,f,f,,d,s,e
9.66,f,s,w,f,s,c,w,7.68,32.58,,,w,,,f,f,,m,s,e
10.96,o,,n,f,f,f,f,3.3,24.62,,g,n,,,f,f,,d,s,p
5.11,o,l,n,f,f,f,f,8.75,52.55,,,n,,,f,f,g,l,a,e
8.26,x,,w,f,x,c,w,10.04,11.63,r,i,w,,,f,f,,h,u,p
2.76,x,t,n,f,s,c,n,5.64,8.76,,,w,,n,t,z,,d,u,p
2.02,f,i,l,f,a,,w,4.3,2.53,,,w,,,f,f,p,g,u,p
10.51,x,,g,t,x,,n,9.06,19.61,s,,u,,u,f,f,,d,a,p
10.01,x,e,n,f,a,,n,10.22,15.6,s,,n,,n,f,f,,d,a,p
9.19,s,,w,t,d,c,w,6.21,24.11,,,w,,,f,f,,d,u,e
3.28,b,g,w,f,x,d,w,4.22,2.57,,,y,,,f,f,,g,u,e
4.38,x,h,n,f,a,c,n,4.92,6.28,,y,n,,,t,z,,d,a,p
12.43,x,s,w,f,s,,p,7.15,17.98,,i,n,,,f,f,,d,u,p
5.93,s,d,e,t,d,c,n,6.54,9.23,,,e,,,f,f,,d,a,p
6.31,x,t,n,f,x,c,y,4.87,14.33,,,y,,,f,f,,d,a,p
3.37,b,t,n,f,,,k,8.4,5.3,,,w,,,t,,k,g,w,p
8.16,x,t,e,f,x,d,w,6.72,17.12,b,,w,,,f,f,,d,u,p
7.34,x,t,y,t,x,c,y,8.05,16.48,,,w,,,f,f,,d,u,e
3.15,f,w,o,t,d,c,n,3.29,5.97,,,n,,,f,f,,d,a,p
9.16,p,y,w,f,,,p,16.98,18.63,,,w,,,f,f,,d,a,p
10.47,x,,g,f,e,,w,10.81,15.5,,,w,u,w,t,g,,d,a,p
6.43,f,h,g,f,s,d,g,5.35,10.0,,s,g,,,f,f,,d,u,e
0.88,x,g,w,f,a,d,w,2.93,1.46,,,e,,,f,f,,l,a,p
21.18,f,k,w,t,d,d,n,8.23,30.64,,,w,,,f,f,,d,u,p
5.27,x,y,n,f,s,,g,5.0,8.75,,,w,,,f,f,,d,a,e
15.18,x,y,n,t,e,,w,9.51,17.42,,,w,,,t,,,d,a,e
3.22,f,h,n,f,,c,k,6.45,6.11,,s,w,,w,f,f,k,d,u,e
5.4,x,d,n,t,p,,y,5.92,13.37,,,y,,,f,f,,d,a,e
2.21,b,,g,f,a,,n,7.92,2.28,,,n,,w,f,f,k,g,a,p
10.01,x,h,n,t,p,,y,6.87,22.28,,,n,,,f,f,,d,u,e
3.52,x,h,o,f,a,c,n,4.01,5.94,,y,n,,,t,z,,d,w,p
10.29,x,t,n,f,a,d,w,10.79,31.25,,,w,,,f,f,,d,a,p
1.83,f,i,l,f,a,,p,4.18,2.5,,,w,,,f,f,p,g,a,p
7.83,p,g,n,f,e,,w,8.84,15.88,,y,w,u,w,t,p,,d,u,p
3.02,b,,g,f,a,,k,8.64,2.52,,,g,,w,f,f,k,g,a,p
2.49,b,w,y,f,a,,y,4.92,4.79,,t,r,,,f,f,,d,u,p
2.14,f,y,n,f,a,d,p,5.93,3.85,,i,n,,,f,f,,l,u,e
4.99,x,t,o,f,p,,n,5.39,11.16,,,n,,,f,f,,d,u,e
10.15,f,y,e,f,,,w,5.99,25.4,b,,n,,w,t,e,,d,a,e
3.84,f,y,w,f,e,c,n,5.14,3.62,,k,w,,,t,e,,d,a,p
4.78,o,,w,f,f,f,f,5.73,28.57,,g,w,,,t,f,,d,u,p
6.3,s,s,o,f,d,d,b,5.19,11.56,,,w,,,f,f,,g,w,e
2.87,f,w,o,t,d,c,y,3.52,5.91,,,n,,,f,f,,d,a,p
1.73,x,g,n,f,d,d,n,2.15,2.57,,s,n,,,f,f,,h,u,p
4.36,x,,y,f,a,c,o,3.42,9.13,,,w,,,f,f,,d,a,e
2.26,x,i,l,f,a,,w,3.64,2.45,,,w,,,f,f,p,g,a,p
2.97,x,i,e,f,,,e,4.57,5.0,,,e,,,f,f,n,d,a,p
1.31,s,s,y,f,f,f,f,3.32,5.08,,,y,,,f,f,,d,u,p
7.75,x,i,n,f,e,c,p,3.93,11.97,,,w,,,t,r,,w,u,e
0.87,x,g,w,f,a,d,w,2.86,1.19,,,e,,,f,f,,l,a,p
7.25,x,,n,f,d,c,y,6.19,11.24,b,,n,,,f,f,,d,a,p
7.83,s,t,p,t,d,c,p,7.41,13.07,,,p,,,t,f,,d,a,p
22.7,x,g,o,f,p,,y,6.35,43.94,,,n,,,f,f,,d,w,p
6.5,x,,p,f,x,c,w,6.16,17.37,,s,w,,,f,f,,d,a,e
0.93,b,g,w,f,,,g,2.56,1.39,,,w,,,f,f,,d,w,e
3.87,x,,y,f,s,d,y,4.66,7.32,,i,y,,,f,f,,d,a,p
7.98,f,w,p,f,s,c,p,3.86,8.81,,,p,,,f,f,,d,w,p
12.02,f,,g,f,e,,w,10.84,14.33,,,w,u,w,t,g,,d,a,p
3.23,b,t,n,f,,,n,11.52,6.11,,,w,,,t,,k,g,a,p
8.11,x,,y,f,e,,w,6.89,13.8,b,,y,u,w,t,g,,d,a,e
3.13,s,d,w,f,a,d,w,3.62,2.69,,h,w,,,f,f,,g,a,p
21.77,p,d,e,f,p,,w,18.14,37.09,s,y,w,,,f,f,,d,a,e
11.56,s,,u,f,s,c,u,8.72,23.73,,,b,,,f,f,,l,w,e
5.23,x,s,n,t,s,d,w,3.61,12.16,r,i,w,,,f,f,,d,a,p
9.48,s,t,p,t,d,c,p,8.51,17.7,,,p,,,t,f,,d,a,p
15.57,s,s,n,f,a,d,y,7.17,23.91,,,w,,,f,f,w,d,a,e
1.14,x,g,e,t,a,,w,5.21,0.97,,,n,,,f,f,,d,a,e
16.79,f,k,n,f,d,c,y,6.23,40.8,,k,k,,,f,f,,d,u,p
4.57,f,y,g,f,s,,g,4.86,7.84,,,w,,,f,f,,d,u,e
4.07,s,,n,f,f,f,f,7.03,7.69,,,y,,,f,f,,d,a,e
7.98,b,y,n,f,,,k,15.14,17.35,,,w,,,f,f,,d,a,p
8.11,f,y,y,f,s,c,y,6.46,17.86,,y,u,,,f,f,,d,a,p
7.71,x,,g,t,p,,g,12.83,25.07,,y,w,,,f,f,,d,u,e
4.98,x,,n,f,x,c,u,6.89,4.29,,,w,,,f,f,,d,a,e
5.9,x,,n,t,p,,g,10.85,23.38,,y,w,,,f,f,,d,u,e
6.01,c,t,n,f,e,,w,12.15,11.29,,s,w,u,w,f,f,,d,u,e
0.84,x,g,e,f,a,,p,3.99,0.96,,s,k,,,f,f,,d,u,p
2.66,b,y,n,f,,c,n,6.03,2.3,,,w,,,f,f,,d,s,e
0.59,p,g,w,f,,,g,2.46,1.21,,,w,,,f,f,,d,w,e
14.12,s,e,g,f,d,c,w,8.51,24.83,s,,w,,,f,f,,d,a,e
7.97,f,g,o,f,s,,y,7.87,12.34,,t,o,,,f,f,,d,a,e
4.28,x,h,o,f,a,d,w,6.04,5.48,,s,o,,,f,f,,d,s,e
1.76,c,g,n,f,a,,w,5.16,1.52,,,g,,,f,f,,l,u,e
11.19,f,,g,f,d,c,w,2.34,16.54,,,w,,,f,f,,d,a,e
3.47,x,y,n,f,a,,w,5.47,3.51,,y,n,,,t,r,,g,a,p
9.33,o,t,r,f,,c,y,1.56,14.99,,,n,,,f,f,,d,a,p
4.16,x,y,n,f,a,,w,6.1,3.65,,y,n,,,t,r,,h,u,p
5.81,x,h,y,t,x,c,y,6.68,13.53,,,w,,,f,f,,d,a,e
12.73,s,s,n,f,d,c,y,5.44,32.38,,k,k,,,f,f,,d,u,p
3.62,b,y,e,f,e,c,w,4.99,3.68,,k,w,,,t,e,,m,u,p
6.82,x,t,n,f,a,d,n,5.86,4.96,,t,g,,,t,l,,d,u,e
2.89,b,h,n,f,,,k,9.66,5.76,,,w,,,t,,k,g,u,p
9.2,s,t,p,t,d,c,p,8.57,14.72,,,p,,,t,f,,d,u,p
1.34,x,t,n,f,a,,w,6.54,1.76,,t,y,,,f,f,,d,a,e
2.63,x,s,w,f,d,d,w,3.19,5.33,,,w,,,f,f,,g,a,e
2.8,c,,u,f,a,c,w,3.16,3.6,,i,u,,,f,f,,d,a,p
10.82,s,s,r,f,x,,n,6.81,20.25,,,n,,,f,f,,d,w,e
4.16,x,,r,f,a,,r,6.24,7.79,,,l,,,f,f,,l,u,e
8.95,o,,e,f,f,f,f,3.26,23.33,,g,n,,,f,f,,d,u,p
3.48,f,d,u,t,d,c,p,4.1,6.01,,,g,,,f,f,,d,a,e
1.65,x,t,y,f,a,,w,5.68,2.01,,t,y,,,f,f,,g,a,e
2.95,b,y,n,f,,c,n,6.09,3.28,,,w,,,f,f,,d,a,e
6.7,x,e,e,f,a,,y,8.25,9.45,,,y,,w,t,z,,d,a,p
8.39,o,,e,f,f,f,f,3.86,26.48,,g,n,,,f,f,,d,u,p
7.09,x,w,p,f,s,c,p,4.11,10.01,,,p,,,f,f,,d,a,p
7.85,x,y,w,t,,,g,8.85,13.78,s,,w,,,t,l,,g,u,p
14.68,x,h,o,f,e,,w,16.19,16.4,s,y,w,u,w,t,g,,d,a,p
2.92,x,s,g,f,d,c,w,2.59,5.68,,,w,,,f,f,,g,a,p
2.32,b,y,n,f,e,c,n,3.62,3.26,,k,w,,,t,e,,m,u,p
8.93,x,t,n,t,p,,y,7.26,18.15,,,n,,w,t,p,,d,a,e
3.5,b,y,n,f,,c,k,6.82,3.36,,,w,,,f,f,,d,s,e
9.95,s,,o,t,d,,o,5.07,11.65,,,w,,,t,f,,d,a,p
16.76,x,h,o,f,e,,w,16.78,16.07,s,y,w,u,w,t,p,,d,w,p
1.92,b,g,o,f,,c,n,5.83,2.49,,,n,,,f,f,,d,u,p
0.94,x,g,e,f,a,,p,4.53,1.19,,h,k,,,f,f,,d,a,p
0.85,x,g,y,f,,,y,3.87,0.86,,,w,,,f,f,,d,u,p
8.27,s,,n,f,,,w,4.42,22.5,,,n,,,f,f,,d,u,e
7.48,x,y,w,t,,,g,8.49,14.95,s,,w,,,t,l,,d,u,p
11.05,p,,n,f,p,,w,9.76,31.64,c,,n,,,f,f,p,d,u,p
8.88,x,e,y,f,x,c,w,7.4,19.27,,,w,,,f,f,,d,a,e
14.29,f,t,n,t,d,c,n,6.84,13.4,,,n,,,f,f,,d,u,p
8.4,x,y,n,f,a,c,y,10.65,12.78,,y,y,,,t,,,d,a,p
7.22,x,t,n,f,s,,n,5.46,6.82,,y,n,,,f,f,,d,a,p
6.66,f,d,n,f,a,c,y,5.99,7.2,,i,y,,,t,,,d,a,p
2.05,p,t,n,f,a,c,n,5.32,2.31,,t,y,,,t,e,,m,a,p
1.47,x,s,y,f,d,,w,5.81,1.72,,t,y,,,f,f,,g,u,e
1.53,c,g,n,f,a,,w,5.07,1.45,,,g,,,f,f,,l,u,e
2.82,s,,n,f,f,f,f,5.67,6.57,,,o,,,f,f,,d,a,e
5.06,f,y,g,f,s,,w,4.67,7.33,,,w,,,f,f,,d,u,e
4.78,c,i,y,f,,c,r,7.52,8.41,,,w,,,f,f,,d,a,p
10.39,x,t,n,t,d,c,n,5.5,14.99,,,n,,,f,f,,h,u,p
6.86,x,s,n,t,s,d,w,7.07,15.35,r,y,w,,,f,f,,d,a,p
18.27,p,y,w,f,,,w,24.68,20.2,s,,n,,,t,m,,m,a,e
21.16,s,k,w,t,d,d,w,8.03,29.48,,,w,,,f,f,,d,u,p
8.0,x,,e,f,x,c,w,6.63,12.87,,s,w,,,f,f,,d,u,e
7.41,x,w,p,f,s,c,p,4.55,10.33,,,p,,,f,f,,d,w,p
2.83,o,,g,f,f,f,f,2.42,12.94,,g,g,,,f,f,,d,a,p
2.42,b,g,w,f,,c,n,5.67,2.91,,,n,,,f,f,,g,a,p
11.92,f,s,w,f,e,c,w,18.03,12.18,,s,w,,,t,e,,g,w,e
4.81,x,t,o,f,p,,n,5.56,11.3,,,e,,,f,f,,d,a,e
10.62,x,h,n,t,p,,n,9.48,18.99,,,n,,w,t,p,,d,u,e
8.28,x,l,w,f,d,,p,3.59,10.15,,,w,,,f,f,,d,u,e
2.65,b,,g,f,a,,k,7.68,2.43,,,g,,w,f,f,k,g,u,p
9.57,f,s,w,f,e,c,w,15.02,11.21,,s,w,,,t,e,,u,s,e
18.57,p,d,e,f,p,,w,17.06,35.18,s,y,w,,,f,f,,d,a,e
2.85,f,y,w,f,e,c,w,4.7,3.4,,k,w,,,t,e,,d,a,p
8.24,f,,p,f,x,c,w,8.4,20.38,,s,w,,,f,f,,d,a,e
15.2,x,y,n,t,e,,w,10.19,17.75,,,w,,,t,,,d,u,e
4.3,x,t,n,f,d,,o,6.16,6.82,,t,w,,,f,f,,d,a,e
0.98,b,g,w,f,,,g,3.14,1.69,,,w,,,f,f,,d,w,e
0.62,x,g,n,f,a,,n,4.03,0.91,,s,k,,,f,f,,d,a,p
9.91,x,i,n,t,e,,p,8.82,17.57,,y,w,,,t,p,,l,a,e
4.59,s,,e,t,d,c,b,5.44,5.88,,,e,,,f,f,,d,a,p
1.25,x,,n,f,,,n,4.58,2.21,,s,n,,,f,f,k,g,u,p
7.96,f,s,n,f,s,c,w,6.36,9.58,b,i,n,,,f,f,,g,u,e
3.13,b,y,n,f,,c,n,6.74,2.99,,,w,,,f,f,,d,a,e
0.87,b,t,n,f,,c,k,3.03,2.47,,,n,,,t,f,,m,u,p
1.15,b,t,n,f,,c,k,3.11,2.44,,,n,,,t,f,,m,a,p
2.4,x,,b,f,,d,u,5.87,4.63,,,w,,,f,f,,d,w,e
9.68,x,i,n,f,a,,n,11.1,16.8,s,,n,,n,f,f,,h,a,p
9.29,x,s,n,f,e,c,w,6.08,9.4,,i,n,,,f,f,p,d,a,e
8.11,f,,p,f,x,c,w,8.36,22.74,,s,w,,,f,f,,d,u,e
19.2,x,d,o,f,p,,w,17.73,37.27,s,y,w,,,f,f,,d,a,e
16.85,f,t,k,f,a,d,y,7.29,24.63,,,w,,,f,f,w,d,w,e
1.32,b,h,n,f,a,,n,4.8,1.54,,t,n,,,f,f,,g,a,p
3.71,x,s,y,f,,c,k,9.92,7.88,,,y,u,w,t,z,r,d,u,p
10.95,f,s,w,t,e,,g,7.08,15.65,s,,w,,,t,r,,m,a,e
3.65,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a,p
3.69,b,t,n,f,,,k,6.44,4.97,,,w,,,t,,k,g,w,p
5.26,f,k,n,f,d,c,y,5.11,5.99,,i,n,,,t,,,d,u,p
5.35,x,d,y,t,p,,y,8.01,14.64,,,y,,,f,f,,d,a,e
20.63,x,d,o,f,p,,n,14.55,32.57,s,y,w,,,f,f,,d,u,e
16.38,s,e,n,f,d,c,w,10.06,28.38,s,,w,,,f,f,,l,a,e
9.29,x,,n,t,,,w,11.29,14.49,b,,w,u,w,t,g,,d,a,e
3.86,x,t,n,f,d,,o,5.54,6.47,,t,o,,,f,f,,d,a,e
6.93,x,s,n,f,s,,n,5.41,6.03,,y,n,,,f,f,,d,a,p
3.44,x,i,e,f,,,e,4.24,6.43,,,e,,,f,f,n,d,a,p
5.04,x,h,n,f,x,c,n,5.39,5.52,,y,n,,,t,r,,d,s,e
10.19,x,e,n,t,p,,e,7.2,21.33,,,e,,,f,f,,d,a,p
6.24,x,y,y,f,a,c,y,9.51,11.34,,y,y,,,t,,,d,a,p
5.3,x,t,g,f,a,d,n,6.01,4.74,,t,g,,,t,l,,d,u,e
2.57,b,y,n,f,,c,k,6.24,2.69,,,w,,,f,f,,d,u,e
9.38,o,,n,f,,,w,5.36,24.72,,,n,,,f,f,,d,a,e
4.03,f,g,n,f,a,d,g,5.39,3.3,,s,n,,,f,f,,d,u,e
5.43,x,,n,f,x,c,w,7.85,4.58,,,w,,,f,f,,d,a,e
5.73,x,t,n,f,p,,n,6.02,13.24,,,n,,,f,f,,d,u,e
6.38,x,,e,f,x,c,w,4.9,12.58,,s,w,,,f,f,,d,u,e
2.18,p,t,n,f,a,c,n,5.83,2.51,,t,y,,,t,e,,m,s,p
4.7,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u,p
2.68,x,g,n,f,a,,p,6.69,2.26,,,n,,,f,f,,d,a,p
9.3,o,,n,f,,,w,4.54,22.34,,,n,,,f,f,,d,a,e
1.8,x,g,y,f,d,d,n,2.56,2.6,,s,n,,,f,f,,d,u,p
13.46,x,h,n,t,p,,o,10.04,34.55,c,,y,,,f,f,,d,u,p
3.77,f,t,n,f,d,,o,5.64,6.79,,t,w,,,f,f,,d,a,e
13.11,f,,n,f,s,c,u,8.48,18.29,,,u,,,f,f,,l,a,e
15.54,f,t,k,t,d,c,b,5.46,28.08,,,g,,,f,f,,d,u,p
13.09,f,s,n,t,e,,g,10.77,17.81,s,,w,,,t,l,,m,u,e
3.63,x,d,e,f,a,c,o,4.28,6.39,,,o,,,f,f,,g,u,e
9.27,x,,n,f,x,c,w,10.57,11.81,r,i,w,,,f,f,,h,u,p
1.78,f,t,y,f,,,n,7.51,3.31,,,y,,,f,f,,g,a,p
12.27,x,,g,f,e,,w,11.2,13.53,,,w,u,w,t,e,,d,u,p
5.37,x,h,n,f,a,d,n,5.61,5.1,,t,g,,,t,l,,d,w,e
4.45,f,g,g,f,a,d,g,6.53,4.35,,s,n,,,f,f,,d,a,e
9.2,f,t,o,f,s,,n,9.25,13.57,,i,n,,,f,f,,d,a,e
5.09,f,,y,f,s,d,y,5.6,12.83,,i,y,,,f,f,,d,a,p
3.93,x,h,n,f,x,c,w,4.47,5.86,,y,n,,,t,r,,d,u,e
13.2,s,,w,t,d,c,w,6.01,26.65,,,w,,,f,f,,d,u,e
1.49,x,w,n,f,,d,g,4.75,2.57,,,w,,,f,f,,d,a,e
7.64,p,,g,f,a,,w,6.22,12.58,,,w,,,f,f,,d,u,e
23.5,x,t,k,f,a,d,k,9.23,26.7,,,w,,,f,f,w,d,a,e
3.84,x,h,p,f,a,c,e,4.9,7.52,,,e,,,f,f,,g,w,e
8.13,x,y,n,f,,,w,7.17,23.49,b,,n,,w,t,e,,d,w,e
6.28,f,t,e,f,x,d,w,4.94,16.13,b,,w,,,f,f,,d,a,p
3.67,b,h,n,f,,,k,11.13,6.2,,,w,,,t,,k,g,u,p
1.69,o,k,n,f,,,n,5.17,1.56,,,n,,,f,f,,d,w,p
5.95,b,d,n,f,a,c,n,5.64,5.7,,i,y,,,t,,,d,a,p
7.51,f,g,n,f,s,,n,8.58,12.16,,t,n,,,f,f,,d,a,e
6.6,x,t,y,f,p,,y,7.55,13.73,,,y,,y,t,,,d,a,e
3.38,x,d,n,f,p,,e,4.39,10.1,,,n,,,f,f,,d,a,e
5.88,f,y,g,f,s,,g,4.77,8.22,,,w,,,f,f,,d,a,e
9.82,x,s,w,f,s,,p,5.9,15.87,,i,n,,,f,f,,d,a,p
4.29,x,t,o,f,a,c,n,4.5,5.14,,y,o,,,t,z,,d,a,p
6.78,x,s,u,f,a,c,w,4.19,14.07,,,w,,,f,f,,d,a,e
7.19,x,,y,f,a,c,w,7.29,17.04,,,w,,,f,f,,d,w,e
3.13,f,s,o,f,a,,o,3.23,6.11,,,y,,,f,f,,h,a,p
10.25,x,y,n,t,e,,p,8.88,17.58,,y,w,,,t,p,,l,a,e
6.85,b,h,k,f,s,d,w,6.18,11.06,,s,g,,,f,f,,d,u,e
9.51,x,s,n,t,p,,n,9.57,18.64,,,n,,w,t,p,,d,a,e
3.41,f,,w,f,x,c,p,7.96,4.08,,,n,,,f,f,,d,u,p
6.54,f,,b,f,d,c,y,2.22,14.47,,,w,,,f,f,,d,a,e
2.16,b,,n,f,a,,g,4.72,1.8,,s,g,,,f,f,,d,a,p
7.34,f,,y,f,a,c,w,6.33,17.23,,,w,,,f,f,,d,u,e
3.61,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s,p
11.35,s,,w,t,d,c,w,5.83,25.0,,,w,,,f,f,,d,a,e
8.51,p,y,n,f,,,p,13.97,17.34,,,w,,,f,f,,d,a,p
4.96,o,l,n,f,f,f,f,5.22,34.22,,,n,,,f,f,g,d,u,e
4.94,s,w,y,f,f,f,f,4.2,10.53,,,y,,,f,f,,d,a,e
9.11,x,,n,t,,,w,11.84,18.37,b,,w,u,w,t,g,,d,a,e
3.64,b,y,n,f,e,c,w,5.07,3.74,,k,w,,,t,e,,m,u,p
7.61,x,l,w,f,d,,p,3.34,7.87,,,w,,,f,f,,g,u,e
10.75,x,,w,f,x,c,w,10.66,14.73,r,i,w,,,f,f,,d,a,p
6.07,p,s,n,f,,,g,10.58,13.54,,s,w,,,t,z,,d,a,p
4.27,f,l,e,f,x,d,e,6.62,5.42,,,n,,,f,f,,l,u,p
20.66,x,g,e,f,p,,y,6.74,45.06,,,n,,,f,f,,d,a,p
3.69,x,h,r,f,s,c,g,5.86,7.25,,y,l,,,t,e,k,g,a,p
4.84,f,l,e,f,x,d,e,5.88,5.11,,,y,,,f,f,,l,a,p
6.46,f,,g,f,d,c,w,6.05,9.52,b,,n,,,f,f,,d,a,p
3.77,s,,u,f,a,,w,4.38,7.28,,,w,,,f,f,,d,u,p
5.65,x,,e,f,,c,g,4.51,13.77,,,y,,,f,f,,d,a,p
7.8,x,e,n,f,a,,n,10.68,14.29,s,,n,,e,f,f,,d,a,p
2.29,c,,u,f,a,c,w,3.4,3.23,,i,w,,,f,f,,p,u,p
5.69,x,h,g,f,a,d,n,5.69,4.7,,t,w,,,t,l,,d,w,e
1.16,x,s,y,f,f,f,f,2.57,5.42,,,y,,,f,f,,d,a,p
5.47,x,,w,f,x,c,n,6.65,4.29,,,w,,,f,f,,d,u,e
3.42,f,y,e,f,e,c,w,4.67,3.41,,k,w,,,t,e,,m,u,p
14.8,x,g,o,f,e,,w,17.94,17.42,s,y,w,u,w,t,g,,d,w,p
8.22,x,t,y,f,p,,y,8.46,15.62,,,y,,y,t,,,d,u,e
9.42,f,y,e,f,s,c,y,7.26,19.35,,y,u,,,f,f,,d,a,p
5.94,s,d,o,f,d,c,y,3.94,6.45,,,o,,,f,f,,d,u,p
15.26,x,e,n,t,e,,w,10.82,18.32,,,w,,,t,,,g,a,e
9.1,f,y,e,f,s,c,y,8.0,23.06,,y,e,,,f,f,,d,a,p
0.99,x,g,w,f,a,d,w,3.05,1.57,,,n,,,f,f,,l,a,p
3.47,f,,n,f,x,c,p,8.28,4.4,,,p,,,f,f,,d,u,p
