CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1.6,1106.0,150.0,4.3,728.0,221.0,722.0,111.0,1309.0,885.0,14.4,78.6,1.2839
0.8,960.0,150.0,3.4,676.0,34.0,983.0,34.0,1488.0,488.0,35.4,32.4,1.837
3.4,1285.0,150.0,12.1,1052.0,465.0,605.0,158.0,1164.0,1967.0,5.1,58.4,0.517
1.2,1067.0,150.0,9.0,938.0,102.0,825.0,99.0,1520.0,912.0,29.7,24.8,1.016
1.8,892.0,150.0,6.9,853.0,180.0,1080.0,109.0,1509.0,666.0,26.0,29.4,0.976
1.2,1031.0,150.0,3.0,652.0,173.0,803.0,101.0,1256.0,775.0,14.4,78.0,1.2741
1.8,938.0,150.0,10.2,987.0,134.0,862.0,111.0,1597.0,817.0,27.8,25.8,0.9473
1.8,832.0,150.0,1.5,547.0,15.0,1320.0,23.0,1254.0,469.0,18.3,40.0,0.8345
3.7,1419.0,586.0,18.9,1267.0,219.0,742.0,138.0,1763.0,1490.0,20.8,22.5,0.5463
3.6,1247.0,150.0,20.7,1315.0,403.0,544.0,116.0,1874.0,1341.0,19.2,66.4,1.4592
1.8,1070.0,150.0,9.2,947.0,210.0,609.0,124.0,1292.0,815.0,26.1,26.3,0.875
1.8,1443.0,150.0,26.0,1455.0,180.0,635.0,109.0,2073.0,1600.0,21.4,36.0,0.9059
1.3,1088.0,150.0,8.8,932.0,203.0,706.0,72.0,1565.0,1034.0,21.5,67.5,1.708
2.4,1122.0,150.0,10.6,1000.0,211.0,783.0,119.0,1663.0,1085.0,16.6,55.6,1.042
4.3,1559.0,535.0,18.9,1267.0,230.0,653.0,149.0,2047.0,1373.0,15.7,62.5,1.1092
0.6,848.0,150.0,2.8,642.0,180.0,1079.0,109.0,1536.0,654.0,26.3,50.8,1.7058
0.5,877.0,150.0,5.6,793.0,253.0,944.0,132.0,951.0,924.0,3.2,57.0,0.4434
1.8,940.0,150.0,5.5,789.0,180.0,917.0,109.0,1473.0,914.0,19.5,72.0,1.6118
0.9,1021.0,119.0,5.7,800.0,75.0,931.0,64.0,1483.0,1019.0,14.0,59.7,0.9499
2.2,1137.0,150.0,14.9,1146.0,188.0,1144.0,136.0,1392.0,1327.0,26.1,23.8,0.7938
7.5,1678.0,150.0,37.9,1727.0,726.0,390.0,190.0,2318.0,2039.0,25.5,49.7,1.5985
4.4,1488.0,150.0,19.6,1286.0,910.0,452.0,170.0,1648.0,1766.0,9.9,73.3,0.8936
4.7,1518.0,150.0,19.9,1293.0,798.0,515.0,170.0,1602.0,2048.0,13.8,67.8,1.0609
0.4,749.0,150.0,1.7,559.0,25.0,1145.0,33.0,1255.0,584.0,22.5,48.6,1.3077
3.2,1271.0,150.0,17.2,1217.0,444.0,566.0,90.0,1810.0,1227.0,20.2,68.9,1.6074
1.2,1039.0,150.0,7.6,882.0,217.0,724.0,52.0,1473.0,1002.0,18.1,72.3,1.4927
1.8,837.0,150.0,2.2,597.0,180.0,1129.0,109.0,1414.0,478.0,25.9,46.3,1.524
0.6,854.0,150.0,1.7,562.0,180.0,1106.0,109.0,1224.0,400.0,24.3,42.9,1.2906
2.0,1032.0,150.0,12.6,1071.0,127.0,742.0,131.0,1619.0,840.0,35.7,18.9,1.0865
0.7,827.0,150.0,1.4,533.0,129.0,1198.0,91.0,775.0,488.0,4.6,38.1,0.3267
1.8,1023.0,150.0,6.9,851.0,259.0,782.0,94.0,1413.0,881.0,16.9,80.6,1.5372
2.0,1117.0,150.0,8.6,922.0,259.0,717.0,83.0,1585.0,994.0,24.3,57.4,1.7233
1.8,1074.0,150.0,9.0,939.0,180.0,1071.0,109.0,1513.0,997.0,25.6,28.0,0.9088
1.0,974.0,150.0,4.6,743.0,203.0,864.0,75.0,1155.0,885.0,9.1,77.3,0.8944
1.8,935.0,150.0,4.5,737.0,180.0,869.0,109.0,1548.0,758.0,25.4,52.9,1.698
2.6,1312.0,150.0,11.9,1047.0,374.0,545.0,126.0,1430.0,1399.0,13.0,70.0,1.042
5.5,1612.0,150.0,27.7,1496.0,548.0,429.0,137.0,2127.0,1743.0,26.9,48.6,1.7017
1.8,980.0,150.0,11.1,1019.0,180.0,921.0,109.0,1720.0,950.0,26.2,33.6,1.1244
1.8,1485.0,150.0,34.4,1650.0,180.0,632.0,109.0,2337.0,1789.0,19.0,41.6,0.9039
3.5,1181.0,150.0,16.1,1183.0,191.0,792.0,148.0,1711.0,1432.0,23.1,27.2,0.7575
0.7,880.0,150.0,2.4,610.0,101.0,2095.0,59.0,1150.0,711.0,12.0,78.0,1.094
0.9,958.0,150.0,5.9,805.0,92.0,886.0,74.0,1551.0,835.0,22.0,51.0,1.3296
0.9,912.0,150.0,5.3,776.0,61.0,991.0,84.0,1379.0,461.0,38.5,19.8,1.326
1.0,860.0,150.0,4.7,748.0,39.0,955.0,50.0,1344.0,532.0,34.3,22.5,1.1974
0.7,881.0,150.0,4.1,718.0,43.0,965.0,60.0,1510.0,837.0,23.3,48.4,1.3677
1.6,1049.0,150.0,6.6,839.0,103.0,846.0,110.0,1636.0,858.0,28.5,41.6,1.5959
1.8,1029.0,150.0,7.5,877.0,180.0,807.0,109.0,1489.0,776.0,30.4,29.8,1.2712
1.1,1110.0,150.0,6.0,814.0,75.0,948.0,73.0,1571.0,854.0,20.5,49.3,1.173
4.9,1388.0,150.0,22.6,1367.0,596.0,500.0,214.0,1722.0,1503.0,16.8,55.2,1.048
0.6,797.0,54.0,2.3,606.0,26.0,1452.0,35.0,1076.0,368.0,22.2,18.9,0.4993
1.8,885.0,150.0,6.0,812.0,180.0,1100.0,109.0,1495.0,675.0,22.8,37.6,1.0315
1.6,1063.0,150.0,8.2,909.0,108.0,806.0,95.0,1463.0,963.0,17.8,49.6,0.9954
1.6,1100.0,150.0,9.4,954.0,87.0,809.0,106.0,1512.0,1360.0,40.1,14.9,1.0828
1.8,962.0,150.0,5.9,807.0,268.0,821.0,131.0,901.0,745.0,20.2,14.4,0.337
2.1,1167.0,184.0,9.7,966.0,129.0,942.0,93.0,1520.0,1016.0,15.5,36.1,0.6313
1.8,723.0,150.0,0.9,485.0,180.0,1419.0,109.0,1065.0,425.0,14.6,57.1,0.9428
1.5,1076.0,150.0,4.6,745.0,221.0,801.0,149.0,1040.0,841.0,7.4,59.3,0.6123
1.2,990.0,150.0,6.9,852.0,70.0,967.0,90.0,1488.0,669.0,42.2,14.2,1.1609
0.9,1060.0,150.0,3.6,686.0,107.0,830.0,73.0,1110.0,445.0,23.1,32.1,0.8973
1.9,1085.0,150.0,12.7,1075.0,126.0,767.0,110.0,1786.0,913.0,34.4,22.5,1.205
1.8,997.0,150.0,6.5,835.0,180.0,951.0,109.0,1501.0,888.0,13.9,61.1,0.9656
0.8,798.0,150.0,2.5,621.0,109.0,1115.0,62.0,1041.0,524.0,10.6,61.3,0.7856
4.3,1303.0,150.0,20.7,1317.0,329.0,631.0,151.0,1816.0,1196.0,33.2,25.4,1.2722
2.8,1281.0,150.0,13.8,1111.0,383.0,553.0,148.0,1483.0,1409.0,14.2,60.0,0.9684
1.6,989.0,150.0,7.8,889.0,85.0,889.0,89.0,1602.0,664.0,35.3,20.8,1.1664
1.1,948.0,150.0,6.3,826.0,137.0,802.0,57.0,1382.0,897.0,19.3,65.5,1.45
0.6,907.0,150.0,2.9,644.0,152.0,1028.0,104.0,902.0,732.0,6.6,47.9,0.4686
1.5,1063.0,150.0,8.2,909.0,169.0,806.0,86.0,1463.0,963.0,17.8,49.6,0.9954
4.7,1557.0,150.0,27.8,1499.0,555.0,381.0,151.0,1945.0,1817.0,14.1,58.9,0.9447
0.9,922.0,150.0,3.1,658.0,227.0,898.0,141.0,922.0,706.0,11.1,43.3,0.572
5.5,1063.0,150.0,8.2,909.0,1182.0,806.0,236.0,1463.0,963.0,17.8,49.6,0.9954
1.8,1112.0,122.0,6.7,842.0,100.0,1015.0,91.0,1494.0,680.0,11.3,63.9,0.8554
1.5,850.0,150.0,4.8,755.0,293.0,966.0,116.0,1051.0,714.0,12.1,46.5,0.653
2.4,1063.0,150.0,8.2,909.0,381.0,806.0,150.0,1463.0,963.0,17.8,49.6,0.9954
1.2,1063.0,150.0,3.4,678.0,163.0,796.0,109.0,1107.0,522.0,21.5,35.0,0.8886
1.8,1224.0,150.0,7.8,892.0,180.0,884.0,109.0,1580.0,923.0,16.7,56.5,1.0634
1.8,1011.0,150.0,11.1,1017.0,180.0,704.0,109.0,1569.0,738.0,34.4,24.0,1.279
1.1,1063.0,150.0,8.2,909.0,68.0,806.0,71.0,1463.0,963.0,17.8,49.6,0.9954
0.7,827.0,150.0,2.7,636.0,88.0,1485.0,59.0,980.0,483.0,13.7,45.0,0.6991
3.5,1353.0,150.0,19.9,1292.0,184.0,683.0,95.0,2178.0,1326.0,23.0,53.8,1.4968
1.0,935.0,150.0,4.2,724.0,43.0,936.0,49.0,1574.0,598.0,29.5,45.9,1.8662
1.8,860.0,150.0,3.0,652.0,180.0,997.0,109.0,1326.0,734.0,17.1,73.9,1.4262
0.8,833.0,150.0,1.9,574.0,180.0,1150.0,109.0,930.0,752.0,7.9,55.4,0.593
4.8,1522.0,150.0,28.2,1509.0,303.0,543.0,126.0,2275.0,1828.0,18.2,46.2,0.9575
1.3,1073.0,95.0,4.7,746.0,73.0,1072.0,84.0,1360.0,789.0,15.0,46.1,0.7833
1.6,1079.0,116.0,7.4,875.0,113.0,947.0,71.0,1535.0,998.0,10.3,65.6,0.8225
0.8,872.0,150.0,6.5,833.0,65.0,947.0,59.0,1598.0,760.0,20.4,54.1,1.28
0.8,1096.0,150.0,6.8,850.0,287.0,690.0,165.0,1146.0,943.0,12.2,50.9,0.7202
1.7,1103.0,150.0,9.2,946.0,87.0,737.0,89.0,1686.0,934.0,36.6,26.5,1.599
1.8,977.0,150.0,4.5,737.0,180.0,1025.0,109.0,1450.0,686.0,17.8,49.5,0.9986
1.7,919.0,150.0,3.7,693.0,180.0,955.0,109.0,882.0,979.0,2.3,56.3,0.4134
1.1,941.0,150.0,5.6,792.0,180.0,975.0,109.0,1397.0,889.0,14.8,50.6,0.8489
1.8,1111.0,150.0,13.1,1088.0,180.0,635.0,109.0,1719.0,884.0,33.0,31.4,1.5583
2.7,1178.0,150.0,9.0,939.0,573.0,640.0,244.0,1228.0,1165.0,4.1,83.9,0.6967
3.8,1478.0,150.0,17.8,1234.0,852.0,470.0,138.0,1606.0,1551.0,8.7,79.4,0.8944
3.0,1280.0,150.0,14.9,1144.0,481.0,555.0,144.0,1599.0,1624.0,16.4,72.1,1.336
1.8,1127.0,150.0,14.0,1117.0,158.0,714.0,132.0,1625.0,1092.0,42.8,12.3,1.0326
1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616
0.5,826.0,150.0,2.7,631.0,24.0,1028.0,33.0,1473.0,593.0,24.8,55.4,1.7054
1.8,922.0,150.0,4.5,737.0,180.0,1050.0,109.0,1414.0,882.0,13.1,62.6,0.9419
2.5,1198.0,150.0,7.9,897.0,402.0,720.0,151.0,1072.0,1436.0,7.8,54.6,0.5786
4.1,1291.0,150.0,15.8,1174.0,465.0,567.0,91.0,1746.0,1341.0,21.7,67.3,1.7256
0.6,922.0,39.0,1.5,541.0,45.0,1453.0,57.0,1246.0,432.0,13.3,53.6,0.8169
1.5,1030.0,150.0,6.7,844.0,90.0,917.0,78.0,1599.0,747.0,32.3,30.4,1.445
1.1,919.0,150.0,5.7,796.0,62.0,870.0,80.0,1538.0,560.0,28.1,41.1,1.535
0.6,916.0,150.0,1.5,541.0,180.0,1143.0,109.0,1064.0,536.0,11.7,74.1,1.0167
3.1,1185.0,150.0,9.7,966.0,421.0,711.0,127.0,1250.0,1104.0,6.8,82.8,0.8216
2.9,1212.0,150.0,16.4,1191.0,455.0,551.0,97.0,1586.0,1210.0,15.9,69.8,1.253
4.5,1387.0,150.0,24.6,1419.0,309.0,559.0,192.0,2113.0,1677.0,33.6,26.4,1.3515
1.6,1077.0,150.0,10.2,985.0,165.0,742.0,97.0,1780.0,1170.0,21.8,52.5,1.3529
3.6,1258.0,150.0,14.9,1144.0,414.0,558.0,189.0,1336.0,1509.0,8.9,52.5,0.5996
4.9,1063.0,150.0,8.2,909.0,803.0,806.0,167.0,1463.0,963.0,17.8,49.6,0.9954
1.9,1112.0,172.0,8.4,917.0,124.0,897.0,90.0,1542.0,931.0,16.6,44.4,0.8313
1.6,1108.0,150.0,14.2,1123.0,167.0,804.0,83.0,1801.0,1111.0,17.4,50.9,1.0017
2.5,1156.0,150.0,14.4,1129.0,118.0,688.0,110.0,1941.0,1181.0,28.9,41.0,1.6096
1.8,1054.0,150.0,13.7,1106.0,180.0,679.0,109.0,1297.0,1239.0,8.6,60.5,0.6788
2.6,1237.0,150.0,15.8,1175.0,173.0,660.0,128.0,1834.0,1424.0,30.5,29.7,1.2742
8.0,1884.0,150.0,43.7,1846.0,895.0,348.0,194.0,2595.0,2203.0,24.6,58.9,1.8005
1.8,904.0,150.0,6.7,845.0,180.0,878.0,109.0,1483.0,775.0,23.8,44.7,1.3019
0.3,748.0,150.0,0.8,477.0,21.0,1703.0,28.0,1301.0,380.0,19.1,52.7,1.1545
0.6,863.0,150.0,2.3,608.0,41.0,1035.0,30.0,1465.0,597.0,28.3,49.5,1.8782
0.7,848.0,150.0,1.5,541.0,69.0,1067.0,61.0,937.0,392.0,15.1,44.5,0.7569
0.4,844.0,150.0,0.6,453.0,180.0,1378.0,109.0,748.0,337.0,6.9,40.9,0.4091
6.2,1570.0,150.0,35.9,1684.0,597.0,494.0,168.0,2289.0,1716.0,29.0,36.6,1.4452
3.9,1460.0,150.0,16.7,1201.0,486.0,466.0,155.0,1685.0,1591.0,18.2,61.0,1.2634
2.0,1137.0,150.0,9.9,975.0,358.0,687.0,103.0,1234.0,1223.0,7.6,74.3,0.7783
0.2,775.0,150.0,2.5,619.0,10.0,1254.0,19.0,1272.0,386.0,32.2,20.0,0.9488
1.5,1060.0,150.0,14.2,1122.0,116.0,863.0,119.0,1721.0,836.0,30.9,24.4,1.0724
1.0,935.0,150.0,6.5,836.0,58.0,909.0,80.0,1604.0,855.0,23.3,49.9,1.4135
1.8,959.0,150.0,2.8,637.0,180.0,958.0,109.0,1107.0,667.0,8.9,79.0,0.9032
4.6,1475.0,150.0,22.0,1351.0,294.0,625.0,165.0,2006.0,1696.0,21.0,41.1,1.0104
0.5,1297.0,150.0,11.5,1032.0,388.0,605.0,126.0,1297.0,1300.0,7.0,77.8,0.7848
1.0,805.0,150.0,4.5,740.0,41.0,1161.0,12.0,1117.0,565.0,19.8,31.1,0.7104
1.4,1057.0,150.0,7.8,890.0,72.0,778.0,57.0,1701.0,801.0,31.4,40.7,1.8377
2.3,1091.0,150.0,13.0,1082.0,210.0,746.0,119.0,1790.0,1221.0,32.2,25.1,1.189
3.1,1407.0,150.0,14.0,1117.0,402.0,486.0,137.0,1596.0,1521.0,17.7,63.3,1.2729
2.0,1093.0,150.0,13.3,1094.0,108.0,797.0,110.0,1769.0,912.0,37.2,18.2,1.1389
1.2,949.0,150.0,8.3,910.0,71.0,816.0,77.0,1552.0,1015.0,22.2,43.0,1.1363
0.7,959.0,150.0,1.9,578.0,115.0,907.0,79.0,1079.0,546.0,11.8,67.1,0.9274
1.8,1189.0,150.0,23.1,1381.0,180.0,566.0,109.0,1574.0,1426.0,9.5,57.9,0.6877
0.9,835.0,150.0,3.7,691.0,52.0,1265.0,67.0,1182.0,517.0,19.1,25.9,0.5673
3.4,1305.0,150.0,19.7,1287.0,464.0,525.0,124.0,1771.0,1437.0,26.2,43.5,1.4591
3.4,1117.0,150.0,21.1,1327.0,625.0,692.0,196.0,1302.0,1475.0,13.5,19.5,0.3003
1.8,1029.0,150.0,11.8,1042.0,122.0,756.0,130.0,1697.0,1062.0,30.5,29.9,1.2875
3.2,1212.0,150.0,8.6,926.0,490.0,720.0,132.0,1283.0,1193.0,11.2,70.9,0.9406
2.1,1042.0,150.0,11.4,1029.0,123.0,907.0,103.0,1540.0,879.0,28.4,20.2,0.7697
3.4,1308.0,150.0,16.4,1191.0,685.0,537.0,137.0,1559.0,1523.0,15.4,63.9,1.1071
3.2,1457.0,458.0,16.3,1190.0,160.0,678.0,111.0,1877.0,1212.0,20.3,42.8,1.0053
6.6,1705.0,150.0,30.5,1562.0,1172.0,473.0,232.0,1988.0,2197.0,14.9,64.9,1.0929
3.1,1302.0,150.0,15.7,1169.0,495.0,544.0,139.0,1636.0,1605.0,16.8,70.3,1.3341
1.8,1109.0,150.0,6.7,843.0,180.0,769.0,109.0,1458.0,743.0,27.1,43.3,1.5255
1.8,1119.0,150.0,10.0,979.0,180.0,873.0,109.0,1593.0,1170.0,17.2,47.9,0.9334
1.1,880.0,150.0,4.3,728.0,180.0,1046.0,109.0,1167.0,514.0,31.6,18.0,0.8243
1.0,893.0,150.0,3.1,655.0,146.0,990.0,69.0,1097.0,816.0,12.0,71.9,1.003
1.2,937.0,150.0,7.9,893.0,123.0,1106.0,112.0,1463.0,783.0,20.8,33.2,0.8061
6.1,1746.0,824.0,24.2,1409.0,319.0,553.0,148.0,2119.0,1898.0,16.8,49.8,0.9446
0.7,854.0,150.0,2.2,600.0,180.0,1102.0,109.0,1252.0,542.0,25.4,38.6,1.2352
1.9,1192.0,150.0,6.4,832.0,282.0,646.0,155.0,1253.0,1167.0,11.6,68.3,0.9314
0.5,826.0,150.0,1.1,512.0,84.0,1108.0,61.0,1043.0,636.0,12.5,67.4,0.9722
2.9,1063.0,150.0,8.2,909.0,470.0,806.0,160.0,1463.0,963.0,17.8,49.6,0.9954
1.8,1138.0,150.0,9.0,940.0,328.0,706.0,169.0,1088.0,1359.0,8.3,41.3,0.4533
1.9,1022.0,150.0,6.6,837.0,322.0,755.0,168.0,978.0,881.0,6.9,41.3,0.4145
1.6,1206.0,150.0,9.2,948.0,357.0,628.0,121.0,1129.0,1540.0,5.9,65.8,0.6178
1.8,998.0,150.0,9.5,958.0,96.0,800.0,106.0,1484.0,677.0,36.4,16.8,1.0033
0.4,826.0,150.0,2.2,601.0,67.0,1056.0,38.0,1180.0,702.0,16.9,67.9,1.295
0.6,865.0,150.0,5.1,767.0,76.0,1279.0,75.0,1369.0,559.0,23.8,29.2,0.8499
1.8,883.0,150.0,5.4,782.0,180.0,958.0,109.0,1395.0,571.0,27.3,31.0,1.111
0.3,902.0,150.0,4.2,721.0,203.0,924.0,133.0,900.0,666.0,5.7,43.1,0.3984
0.8,1005.0,57.0,3.3,673.0,56.0,1103.0,64.0,1387.0,905.0,13.7,61.6,0.9631
1.2,1025.0,78.0,3.6,689.0,89.0,1189.0,77.0,1325.0,519.0,11.4,61.2,0.8236
1.4,1114.0,150.0,9.5,958.0,89.0,663.0,42.0,1836.0,1167.0,26.8,60.5,2.1008
2.9,1253.0,150.0,13.3,1095.0,355.0,566.0,218.0,1375.0,1206.0,4.6,77.6,0.6651
1.8,1233.0,150.0,14.9,1144.0,180.0,575.0,109.0,1436.0,1271.0,13.1,54.3,0.8167
4.8,1557.0,872.0,27.1,1483.0,250.0,615.0,164.0,2087.0,1757.0,24.9,30.8,0.954
1.0,1034.0,150.0,4.2,719.0,153.0,858.0,86.0,1189.0,845.0,11.8,76.3,1.0547
0.6,867.0,150.0,1.0,500.0,103.0,1219.0,86.0,818.0,387.0,5.9,54.8,0.5119
1.2,945.0,150.0,4.8,755.0,50.0,935.0,68.0,1553.0,663.0,26.0,48.0,1.5882
2.9,1240.0,374.0,14.6,1137.0,158.0,836.0,103.0,1748.0,991.0,14.9,40.5,0.6835
1.8,1239.0,73.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094
1.8,1189.0,150.0,11.0,1014.0,180.0,641.0,109.0,1553.0,1249.0,22.7,55.8,1.5218
3.9,1463.0,150.0,23.2,1383.0,545.0,440.0,181.0,1636.0,1727.0,22.7,25.5,0.6944
0.3,716.0,150.0,0.7,461.0,9.0,1795.0,16.0,1235.0,350.0,19.5,46.3,1.0363
0.5,809.0,150.0,2.6,628.0,27.0,1127.0,42.0,1490.0,682.0,24.0,50.3,1.4811
1.9,1258.0,99.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525
2.9,928.0,150.0,6.8,850.0,254.0,1118.0,129.0,1004.0,794.0,8.9,44.9,0.5125
1.3,1082.0,150.0,3.8,700.0,160.0,759.0,91.0,1286.0,842.0,18.1,62.8,1.2916
0.3,932.0,150.0,2.9,645.0,142.0,916.0,105.0,882.0,1006.0,1.2,63.7,0.4327
0.4,842.0,150.0,1.4,535.0,59.0,1140.0,44.0,805.0,352.0,11.0,40.5,0.5316
1.2,1031.0,150.0,7.3,871.0,147.0,950.0,96.0,1393.0,972.0,25.2,38.1,1.2049
2.7,1302.0,150.0,16.6,1198.0,156.0,628.0,121.0,1934.0,1504.0,29.4,35.6,1.4383
2.6,1150.0,251.0,9.9,973.0,186.0,827.0,105.0,1590.0,1188.0,15.3,51.4,0.8886
1.9,1078.0,150.0,10.2,985.0,106.0,778.0,111.0,1697.0,925.0,28.7,34.7,1.3457
1.7,996.0,150.0,10.4,992.0,189.0,722.0,93.0,1580.0,727.0,31.1,28.6,1.2718
1.8,1311.0,150.0,18.9,1267.0,180.0,524.0,109.0,1941.0,1662.0,31.4,34.5,1.5599
3.0,1304.0,150.0,15.3,1157.0,176.0,793.0,122.0,1801.0,1171.0,16.1,47.6,0.8655
1.6,977.0,150.0,9.4,956.0,93.0,765.0,93.0,1581.0,1114.0,23.6,39.2,1.1306
1.9,1075.0,150.0,10.4,993.0,139.0,781.0,110.0,1682.0,946.0,23.1,44.2,1.2317
2.1,1141.0,150.0,11.1,1017.0,112.0,740.0,104.0,1690.0,1188.0,16.8,57.5,1.0912
0.5,758.0,150.0,1.5,546.0,27.0,1483.0,33.0,1252.0,396.0,14.6,53.3,0.8807
4.9,1560.0,651.0,24.8,1424.0,247.0,579.0,143.0,2176.0,1688.0,20.8,45.3,1.1016
1.8,987.0,150.0,8.1,904.0,180.0,808.0,109.0,1344.0,903.0,15.5,60.6,1.0574
3.0,1063.0,150.0,8.2,909.0,379.0,806.0,143.0,1463.0,963.0,17.8,49.6,0.9954
2.7,1248.0,150.0,15.9,1177.0,324.0,608.0,129.0,1784.0,1230.0,26.4,47.3,1.6006
1.7,1120.0,150.0,6.3,826.0,242.0,750.0,127.0,1222.0,974.0,14.0,61.4,0.9773
0.8,865.0,150.0,3.7,694.0,61.0,989.0,49.0,1385.0,678.0,22.2,63.0,1.6673
2.3,1009.0,150.0,14.0,1116.0,202.0,779.0,180.0,1602.0,877.0,32.2,17.1,0.8124
2.8,1249.0,150.0,15.8,1174.0,193.0,712.0,117.0,1774.0,1486.0,20.3,37.4,0.8807
1.9,1058.0,150.0,10.9,1012.0,109.0,676.0,96.0,1782.0,1063.0,30.6,41.9,1.8104
0.2,787.0,150.0,1.6,549.0,28.0,1366.0,43.0,1317.0,596.0,14.3,61.9,1.0031
2.6,1243.0,150.0,12.7,1072.0,152.0,675.0,103.0,1978.0,1195.0,23.6,59.8,1.7193
2.8,1473.0,150.0,14.3,1127.0,224.0,831.0,152.0,1752.0,1568.0,20.8,34.4,0.8365
1.4,1092.0,150.0,4.9,759.0,268.0,773.0,150.0,1088.0,1039.0,5.3,69.2,0.6213
4.6,1467.0,150.0,26.9,1477.0,483.0,491.0,153.0,2114.0,1592.0,25.4,48.7,1.5594
2.0,970.0,150.0,9.7,966.0,118.0,944.0,81.0,1379.0,907.0,18.4,24.0,0.5046
1.1,996.0,150.0,3.8,698.0,153.0,871.0,123.0,894.0,1228.0,4.1,50.1,0.415
1.1,954.0,150.0,3.2,665.0,152.0,916.0,100.0,1119.0,777.0,11.3,69.8,0.932
1.5,966.0,147.0,5.5,786.0,118.0,1111.0,98.0,1258.0,705.0,11.8,37.6,0.5184
1.0,904.0,150.0,3.4,674.0,177.0,968.0,126.0,824.0,578.0,9.6,31.1,0.3718
2.6,1177.0,150.0,10.3,987.0,429.0,692.0,119.0,1324.0,1229.0,16.2,54.5,0.9956
2.4,1209.0,150.0,15.5,1163.0,430.0,762.0,108.0,1606.0,1300.0,21.4,45.8,1.1515
1.8,1319.0,150.0,24.9,1426.0,180.0,509.0,109.0,1938.0,1491.0,20.9,48.5,1.1878
1.4,1046.0,150.0,6.9,851.0,94.0,920.0,77.0,1595.0,908.0,17.7,56.4,1.1342
1.7,1144.0,150.0,11.0,1014.0,110.0,712.0,86.0,1744.0,1146.0,29.0,36.6,1.4431
1.8,1378.0,150.0,19.5,1282.0,180.0,576.0,109.0,2010.0,1347.0,27.7,53.7,1.967
1.3,992.0,150.0,3.6,685.0,167.0,916.0,96.0,963.0,1035.0,4.5,63.6,0.5414
2.1,1009.0,150.0,8.7,928.0,180.0,754.0,109.0,1166.0,983.0,5.1,84.0,0.7439
3.9,1328.0,150.0,20.1,1300.0,654.0,499.0,301.0,1405.0,1672.0,4.4,61.1,0.5176
1.0,904.0,150.0,2.7,633.0,138.0,1040.0,100.0,789.0,410.0,10.2,28.3,0.3516
1.7,1021.0,150.0,10.0,979.0,248.0,798.0,95.0,1580.0,958.0,21.1,58.3,1.4444
1.8,1110.0,150.0,11.2,1021.0,119.0,820.0,96.0,1724.0,971.0,32.3,23.6,1.1271
1.9,1061.0,155.0,8.2,908.0,141.0,968.0,99.0,1455.0,890.0,22.8,29.1,0.796
2.0,1132.0,143.0,8.4,916.0,128.0,920.0,113.0,1561.0,1083.0,13.9,52.0,0.8231
0.5,852.0,150.0,0.8,479.0,51.0,1275.0,49.0,761.0,375.0,7.1,40.5,0.409
1.5,1049.0,150.0,9.5,958.0,98.0,794.0,104.0,1648.0,861.0,23.7,43.4,1.2495
1.1,1041.0,150.0,7.2,865.0,164.0,757.0,53.0,1486.0,902.0,18.6,74.9,1.5918
1.8,990.0,150.0,8.6,924.0,140.0,974.0,90.0,1404.0,861.0,19.8,28.5,0.652
0.7,801.0,150.0,2.7,633.0,90.0,1489.0,60.0,940.0,482.0,14.7,37.5,0.622
1.8,1029.0,150.0,7.7,886.0,180.0,807.0,109.0,1446.0,926.0,15.0,74.8,1.2672
2.0,1080.0,150.0,8.3,910.0,153.0,923.0,121.0,1548.0,929.0,19.1,44.1,0.966
1.8,1013.0,150.0,8.0,901.0,180.0,788.0,109.0,1369.0,975.0,21.9,39.4,1.0234
1.9,1136.0,150.0,9.6,962.0,265.0,594.0,130.0,1350.0,1052.0,23.6,34.8,0.9986
2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408
3.4,1248.0,150.0,16.0,1179.0,472.0,577.0,165.0,1259.0,1609.0,9.9,44.0,0.5381
1.8,969.0,150.0,3.1,659.0,180.0,945.0,109.0,1082.0,691.0,11.1,65.3,0.8601
1.8,746.0,150.0,0.6,450.0,180.0,1807.0,109.0,1111.0,308.0,15.7,42.3,0.7464
1.8,1069.0,150.0,13.1,1086.0,180.0,1064.0,109.0,1536.0,1119.0,22.8,28.4,0.7804
5.5,1179.0,150.0,23.5,1390.0,755.0,567.0,198.0,1453.0,1459.0,6.5,38.1,0.3709
3.4,1272.0,150.0,15.7,1170.0,215.0,620.0,160.0,1957.0,1347.0,32.8,33.4,1.633
0.5,812.0,150.0,1.5,541.0,89.0,1309.0,70.0,774.0,616.0,5.2,45.9,0.4099
1.8,802.0,150.0,1.2,519.0,180.0,1523.0,109.0,1315.0,540.0,9.8,80.0,0.967
2.1,967.0,150.0,7.5,880.0,313.0,815.0,148.0,887.0,892.0,1.8,35.4,0.2497
