month,day,order,country,page_1_main_category,page_2_clothing_model,colour,location,model_photography,price,price_2,page
7,9,6,29,2,221,12,1,1,67,1,2
5,5,2,29,2,210,2,4,1,67,1,1
5,22,6,29,2,231,9,5,1,57,1,2
8,10,19,29,4,1632,3,5,2,43,1,2
4,2,1,29,2,211,2,4,1,43,2,1
5,27,1,29,2,211,2,4,1,43,2,1
6,25,2,29,1,129,2,4,1,60,1,2
8,5,3,29,3,350,9,5,2,20,2,3
4,29,32,9,3,348,6,4,1,28,2,3
7,5,6,29,3,336,14,6,1,43,1,2
4,1,4,29,1,111,3,4,1,62,1,1
6,24,14,29,4,1641,9,2,2,43,1,3
7,29,14,29,1,114,3,5,1,60,1,1
4,15,4,9,2,210,2,4,1,67,1,1
4,18,1,29,3,336,14,6,1,43,1,2
5,16,1,29,1,17,3,3,1,43,2,1
4,1,1,29,1,111,3,4,1,62,1,1
5,2,7,29,1,131,6,5,2,62,1,2
5,2,2,29,3,332,2,5,1,33,2,2
4,9,5,9,3,334,7,6,1,48,1,2
5,31,42,9,3,311,7,4,1,33,2,1
4,17,22,9,1,122,4,2,1,62,1,2
6,11,8,29,4,1649,14,5,1,33,2,3
4,4,18,29,4,1617,2,6,2,38,1,1
5,29,8,29,4,1612,4,4,1,33,2,1
6,5,2,29,1,11,8,1,1,28,2,1
4,1,3,29,2,29,1,3,1,48,2,1
4,3,1,29,1,117,2,6,1,62,1,1
6,27,4,29,1,132,2,5,1,38,2,2
8,3,7,29,2,214,2,5,1,62,1,1
6,27,1,29,4,1614,2,5,2,38,1,1
7,11,61,29,3,329,6,4,2,52,1,2
8,9,1,29,1,14,3,2,2,38,2,1
4,23,2,46,3,35,11,2,1,48,1,1
4,12,2,29,3,341,13,2,1,28,2,3
8,10,1,29,2,21,4,1,1,57,1,1
4,10,3,29,1,112,2,4,1,38,2,1
4,9,3,29,1,118,4,6,1,38,2,1
4,2,2,29,2,210,2,4,1,67,1,1
6,11,1,29,4,166,2,2,1,43,1,1
6,24,11,29,2,232,6,5,1,38,2,2
6,22,6,29,2,23,12,1,1,52,1,1
7,21,5,29,1,17,3,3,1,43,2,1
6,5,12,29,4,162,3,1,1,28,2,1
4,2,5,29,4,161,3,1,1,38,1,1
7,25,7,29,1,112,2,4,1,38,2,1
6,4,6,29,1,115,14,5,2,33,2,1
4,5,16,29,4,1633,9,5,1,43,1,2
5,3,16,29,4,1664,12,4,2,28,2,4
4,20,15,29,4,167,4,3,2,28,2,1
5,10,10,29,2,232,6,5,1,38,2,2
6,24,1,31,2,216,12,6,1,52,1,1
6,30,1,29,1,13,3,1,1,72,1,1
7,15,11,29,3,354,14,6,1,57,1,3
4,4,6,29,1,117,2,6,1,62,1,1
7,6,3,9,1,16,3,2,1,43,2,1
6,23,6,29,2,210,2,4,1,67,1,1
6,9,3,29,3,311,7,4,1,33,2,1
5,1,3,29,3,36,6,2,1,33,2,1
6,19,13,29,3,317,14,6,1,48,1,1
4,2,1,29,1,111,3,4,1,62,1,1
6,4,20,29,3,357,5,1,2,33,2,4
4,22,2,29,3,357,5,1,2,33,2,4
5,20,3,29,1,14,3,2,2,38,2,1
4,29,12,9,1,122,4,2,1,62,1,2
8,6,11,9,1,111,3,4,1,62,1,1
7,21,8,29,4,1644,11,3,2,28,2,3
6,6,2,29,3,333,14,5,1,48,1,2
8,2,7,29,3,340,14,2,2,28,2,3
8,6,2,29,1,121,1,1,1,62,1,2
4,10,2,29,4,1646,14,4,1,28,2,3
4,25,3,29,4,161,3,1,1,38,1,1
6,27,1,29,4,1633,9,5,1,43,1,2
8,6,4,29,4,1610,4,4,2,65,1,1
4,16,6,29,2,221,12,1,1,67,1,2
4,28,1,29,1,113,1,5,1,28,2,1
4,1,1,29,4,164,4,2,1,38,1,1
5,14,4,9,1,135,14,6,2,33,2,2
7,15,22,29,4,1623,6,2,2,28,2,2
6,5,24,29,4,1633,9,5,1,43,1,2
8,4,5,29,4,166,2,2,1,43,1,1
8,4,6,29,2,225,6,3,1,38,2,2
6,2,13,29,3,322,11,2,2,43,1,2
5,24,4,29,1,117,2,6,1,62,1,1
4,14,1,29,1,112,2,4,1,38,2,1
4,22,15,29,2,231,9,5,1,57,1,2
4,14,11,29,3,357,5,1,2,33,2,4
5,13,2,9,2,213,12,5,2,62,1,1
4,21,3,29,1,12,3,1,1,43,2,1
7,25,1,29,4,164,4,2,1,38,1,1
4,12,8,29,3,314,9,5,1,23,2,1
4,20,3,29,4,1615,4,5,2,38,1,1
5,21,7,29,4,166,2,2,1,43,1,1
7,27,5,29,1,125,1,3,1,38,2,2
7,8,3,29,4,161,3,1,1,38,1,1
7,24,8,9,2,24,10,2,1,52,1,1
4,25,15,29,4,1650,6,5,2,33,2,3
5,24,18,29,4,1649,14,5,1,33,2,3
6,14,4,29,1,19,3,3,1,82,1,1
4,7,6,29,4,1617,2,6,2,38,1,1
8,6,29,29,4,164,4,2,1,38,1,1
4,22,1,29,4,166,2,2,1,43,1,1
4,3,13,29,2,213,12,5,2,62,1,1
4,18,22,29,4,1618,2,6,1,28,2,1
4,11,11,29,4,1648,9,4,2,33,2,3
6,23,3,29,4,165,3,2,1,23,2,1
7,9,3,29,4,167,4,3,2,28,2,1
5,22,1,29,4,162,3,1,1,28,2,1
4,29,1,29,1,11,8,1,1,28,2,1
5,1,24,29,4,1614,2,5,2,38,1,1
5,26,2,29,4,1612,4,4,1,33,2,1
4,29,15,29,3,319,12,1,1,48,1,2
4,16,5,29,3,317,14,6,1,48,1,1
7,12,21,24,4,1682,6,4,2,48,1,5
7,25,26,29,4,1652,11,6,2,23,2,3
4,3,12,29,4,166,2,2,1,43,1,1
4,10,9,29,4,1642,6,2,2,28,2,3
6,21,33,29,4,1611,4,4,2,38,1,1
7,28,7,29,1,111,3,4,1,62,1,1
5,12,5,9,3,356,6,1,2,57,1,4
5,18,11,29,2,210,2,4,1,67,1,1
4,2,11,29,3,316,13,6,1,28,2,1
5,25,2,29,1,12,3,1,1,43,2,1
6,24,6,29,3,321,14,1,1,57,1,2
7,22,1,29,1,11,8,1,1,28,2,1
5,25,9,29,3,318,9,6,1,48,1,1
4,28,16,29,4,1616,7,6,1,33,2,1
7,23,4,29,2,24,10,2,1,52,1,1
6,3,10,9,2,23,12,1,1,52,1,1
6,24,12,29,3,38,2,3,2,48,1,1
4,20,6,29,2,212,2,4,1,38,2,1
5,23,2,6,2,221,12,1,1,67,1,2
7,12,7,21,4,1663,14,3,2,28,2,4
4,9,12,29,3,328,2,4,2,48,1,2
5,26,2,29,1,11,8,1,1,28,2,1
6,21,1,29,1,120,2,1,2,38,2,2
4,1,3,29,4,163,2,1,1,48,1,1
8,7,3,29,4,1629,5,4,2,33,2,2
4,13,2,29,1,12,3,1,1,43,2,1
7,30,19,16,2,223,7,2,1,38,2,2
7,8,22,29,3,334,7,6,1,48,1,2
4,16,6,9,1,19,3,3,1,82,1,1
4,15,4,29,4,1675,7,1,1,33,2,5
8,6,3,29,4,1639,14,1,1,43,1,3
7,2,76,29,4,161,3,1,1,38,1,1
7,7,1,29,2,212,2,4,1,38,2,1
6,9,6,29,2,226,13,3,1,57,1,2
5,21,1,29,2,21,4,1,1,57,1,1
4,2,7,29,2,225,6,3,1,38,2,2
6,30,3,9,1,113,1,5,1,28,2,1
4,19,2,3,2,23,12,1,1,52,1,1
5,21,10,29,2,211,2,4,1,43,2,1
5,19,2,29,4,1617,2,6,2,38,1,1
5,15,5,29,3,36,6,2,1,33,2,1
6,18,1,29,2,21,4,1,1,57,1,1
7,22,5,29,4,1640,4,2,1,43,1,3
5,30,6,29,3,355,13,1,1,48,1,4
7,16,3,9,1,16,3,2,1,43,2,1
6,30,9,29,3,318,9,6,1,48,1,1
6,18,1,9,3,36,6,2,1,33,2,1
7,27,6,29,1,19,3,3,1,82,1,1
5,27,1,9,3,348,6,4,1,28,2,3
6,18,19,29,4,1615,4,5,2,38,1,1
6,10,3,29,2,231,9,5,1,57,1,2
7,8,3,29,3,319,12,1,1,48,1,2
4,1,9,29,1,111,3,4,1,62,1,1
4,23,7,29,4,164,4,2,1,38,1,1
4,10,9,9,1,18,3,3,1,62,1,1
7,18,12,29,3,37,13,3,1,48,1,1
6,25,10,29,2,216,12,6,1,52,1,1
6,8,9,9,2,214,2,5,1,62,1,1
7,8,1,29,1,11,8,1,1,28,2,1
5,6,5,29,2,213,12,5,2,62,1,1
7,10,9,41,1,111,3,4,1,62,1,1
7,29,1,29,4,166,2,2,1,43,1,1
4,18,9,29,1,19,3,3,1,82,1,1
8,1,15,29,2,217,6,6,2,38,2,1
7,2,11,29,1,118,4,6,1,38,2,1
6,28,2,29,2,213,12,5,2,62,1,1
4,4,5,29,2,22,3,1,2,57,1,1
5,30,18,29,2,211,2,4,1,43,2,1
4,10,14,24,4,1649,14,5,1,33,2,3
4,8,19,24,3,354,14,6,1,57,1,3
4,19,4,29,2,216,12,6,1,52,1,1
6,18,2,9,1,112,2,4,1,38,2,1
7,6,2,29,3,355,13,1,1,48,1,4
4,26,45,9,1,16,3,2,1,43,2,1
7,3,3,29,4,163,2,1,1,48,1,1
5,24,21,29,3,320,13,1,2,48,1,2
4,6,1,29,4,1612,4,4,1,33,2,1
7,6,7,9,1,112,2,4,1,38,2,1
5,5,2,29,3,323,3,2,1,43,1,2
4,27,4,29,4,1649,14,5,1,33,2,3
7,15,8,29,2,232,6,5,1,38,2,2
5,5,1,9,1,19,3,3,1,82,1,1
4,16,6,29,4,1616,7,6,1,33,2,1
7,2,1,29,1,111,3,4,1,62,1,1
7,25,1,29,2,215,9,5,1,38,2,1
4,12,13,29,3,39,6,3,1,48,1,1
5,13,4,29,4,161,3,1,1,38,1,1
6,13,20,29,4,1648,9,4,2,33,2,3
6,28,26,29,3,356,6,1,2,57,1,4
5,5,5,9,1,112,2,4,1,38,2,1
5,15,12,29,4,1644,11,3,2,28,2,3
5,21,1,29,1,14,3,2,2,38,2,1
4,4,4,29,3,355,13,1,1,48,1,4
4,30,2,9,3,32,12,1,1,43,1,1
7,23,15,29,2,210,2,4,1,67,1,1
7,10,29,29,2,228,9,4,1,38,2,2
6,2,1,29,2,224,11,2,1,57,1,2
7,23,18,29,3,340,14,2,2,28,2,3
5,17,6,29,4,1638,9,1,1,33,2,3
6,12,93,29,4,1637,2,1,1,43,1,3
5,1,1,29,1,117,2,6,1,62,1,1
5,7,14,29,3,313,9,5,1,48,1,1
5,27,7,29,2,213,12,5,2,62,1,1
7,30,2,29,2,213,12,5,2,62,1,1
6,19,7,29,3,354,14,6,1,57,1,3
7,5,6,29,2,229,2,4,1,62,1,2
4,2,2,9,1,19,3,3,1,82,1,1
6,10,8,9,1,15,3,2,1,43,2,1
4,25,10,29,4,1665,9,4,2,43,1,4
7,23,1,29,2,212,2,4,1,38,2,1
5,21,2,29,1,131,6,5,2,62,1,2
4,15,6,29,4,1680,7,3,1,28,2,5
7,28,19,46,2,22,3,1,2,57,1,1
5,11,2,29,4,1612,4,4,1,33,2,1
7,4,17,24,3,356,6,1,2,57,1,4
4,25,4,29,2,217,6,6,2,38,2,1
4,8,3,24,1,117,2,6,1,62,1,1
7,10,3,29,2,24,10,2,1,52,1,1
5,6,1,29,3,344,14,3,1,55,1,3
4,1,1,29,1,111,3,4,1,62,1,1
5,25,17,29,4,1633,9,5,1,43,1,2
4,26,4,29,1,15,3,2,1,43,2,1
7,15,4,29,3,335,9,6,1,50,1,2
8,5,4,29,1,110,3,4,1,38,2,1
6,11,11,29,2,211,2,4,1,43,2,1
6,20,2,29,1,111,3,4,1,62,1,1
4,22,5,29,4,167,4,3,2,28,2,1
8,12,3,29,2,21,4,1,1,57,1,1
5,18,14,9,1,110,3,4,1,38,2,1
6,25,10,9,3,338,13,1,1,38,2,3
5,20,1,29,4,1657,4,1,1,43,1,4
5,24,3,29,1,15,3,2,1,43,2,1
4,29,5,29,1,128,1,4,2,43,2,2
6,12,5,29,2,212,2,4,1,38,2,1
5,13,2,29,1,12,3,1,1,43,2,1
4,3,5,29,2,233,6,5,2,33,2,2
4,19,6,29,4,163,2,1,1,48,1,1
7,5,2,9,3,330,2,4,2,28,2,2
6,10,12,29,4,163,2,1,1,48,1,1
4,24,5,29,2,217,6,6,2,38,2,1
6,30,1,24,4,1661,1,3,2,28,2,4
4,11,25,29,2,216,12,6,1,52,1,1
6,1,8,29,4,1633,9,5,1,43,1,2
6,24,5,29,4,1632,3,5,2,43,1,2
8,7,1,46,1,11,8,1,1,28,2,1
5,14,5,29,1,125,1,3,1,38,2,2
5,26,1,29,1,12,3,1,1,43,2,1
6,21,2,29,2,210,2,4,1,67,1,1
4,17,2,24,1,129,2,4,1,60,1,2
5,25,2,29,1,18,3,3,1,62,1,1
8,2,23,29,3,356,6,1,2,57,1,4
8,11,4,29,1,15,3,2,1,43,2,1
7,23,3,34,4,1653,2,6,2,38,1,3
7,2,4,29,1,136,1,6,1,33,2,2
6,30,1,29,1,11,8,1,1,28,2,1
4,2,13,29,3,35,11,2,1,48,1,1
8,6,2,29,2,216,12,6,1,52,1,1
6,5,8,29,4,1651,9,5,1,28,2,3
5,8,10,29,4,1634,9,6,2,48,1,2
6,15,2,29,1,12,3,1,1,43,2,1
7,14,8,24,1,131,6,5,2,62,1,2
4,18,11,29,3,39,6,3,1,48,1,1
4,2,4,10,3,340,14,2,2,28,2,3
7,23,19,29,4,1659,2,2,2,38,1,4
7,28,16,29,4,1623,6,2,2,28,2,2
7,10,27,29,2,223,7,2,1,38,2,2
5,22,11,29,3,314,9,5,1,23,2,1
5,14,7,29,1,12,3,1,1,43,2,1
7,9,6,29,4,1682,6,4,2,48,1,5
4,23,9,29,4,1615,4,5,2,38,1,1
8,9,7,29,4,1677,7,2,1,43,1,5
5,19,20,9,1,13,3,1,1,72,1,1
4,10,14,29,2,225,6,3,1,38,2,2
7,11,2,29,1,114,3,5,1,60,1,1
6,28,5,29,1,12,3,1,1,43,2,1
5,14,6,29,1,143,2,3,1,62,1,3
4,8,1,29,1,16,3,2,1,43,2,1
7,19,7,29,4,1617,2,6,2,38,1,1
4,24,2,29,2,213,12,5,2,62,1,1
7,28,15,29,2,213,12,5,2,62,1,1
5,18,3,29,4,163,2,1,1,48,1,1
7,9,5,29,1,110,3,4,1,38,2,1
8,3,7,29,2,210,2,4,1,67,1,1
5,16,13,34,1,114,3,5,1,60,1,1
7,2,4,16,2,231,9,5,1,57,1,2
7,25,9,27,2,226,13,3,1,57,1,2
4,5,7,29,1,19,3,3,1,82,1,1
4,29,18,9,1,115,14,5,2,33,2,1
8,8,18,29,1,122,4,2,1,62,1,2
8,7,1,29,2,22,3,1,2,57,1,1
7,10,7,29,1,17,3,3,1,43,2,1
5,7,12,29,1,127,3,3,1,55,1,2
4,2,4,27,2,213,12,5,2,62,1,1
5,6,1,29,2,24,10,2,1,52,1,1
5,1,26,9,2,232,6,5,1,38,2,2
8,3,19,29,2,224,11,2,1,57,1,2
6,20,1,9,1,18,3,3,1,62,1,1
8,4,11,29,4,1616,7,6,1,33,2,1
6,16,4,29,2,23,12,1,1,52,1,1
5,5,1,29,4,1616,7,6,1,33,2,1
5,15,2,29,3,312,14,4,1,43,1,1
4,24,7,29,3,37,13,3,1,48,1,1
4,1,2,29,1,19,3,3,1,82,1,1
4,22,1,29,2,217,6,6,2,38,2,1
6,17,39,29,3,318,9,6,1,48,1,1
6,5,6,29,1,140,4,2,2,38,2,3
7,17,21,29,4,1629,5,4,2,33,2,2
5,29,21,31,1,15,3,2,1,43,2,1
5,30,2,29,1,114,3,5,1,60,1,1
6,23,1,29,2,216,12,6,1,52,1,1
7,30,6,29,4,1615,4,5,2,38,1,1
4,5,4,29,1,113,1,5,1,28,2,1
6,10,1,29,4,1615,4,5,2,38,1,1
6,3,2,29,3,32,12,1,1,43,1,1
8,9,15,29,2,211,2,4,1,43,2,1
7,22,8,29,4,161,3,1,1,38,1,1
8,6,3,29,3,311,7,4,1,33,2,1
4,26,3,29,1,12,3,1,1,43,2,1
4,2,1,29,1,13,3,1,1,72,1,1
7,20,2,29,2,217,6,6,2,38,2,1
5,11,1,29,1,14,3,2,2,38,2,1
4,23,2,9,1,113,1,5,1,28,2,1
8,10,3,29,4,1656,2,1,1,33,2,4
6,6,1,29,3,313,9,5,1,48,1,1
5,8,10,29,4,1620,7,1,1,23,2,2
4,7,24,29,2,22,3,1,2,57,1,1
6,16,21,29,4,1672,14,6,1,33,2,4
5,19,1,29,1,115,14,5,2,33,2,1
4,7,2,29,2,223,7,2,1,38,2,2
5,7,6,9,1,112,2,4,1,38,2,1
6,20,2,29,1,135,14,6,2,33,2,2
5,2,43,9,1,19,3,3,1,82,1,1
6,13,5,29,2,226,13,3,1,57,1,2
7,31,9,44,2,23,12,1,1,52,1,1
5,14,15,29,4,1617,2,6,2,38,1,1
5,8,29,29,3,319,12,1,1,48,1,2
6,11,1,24,3,312,14,4,1,43,1,1
4,21,5,29,1,15,3,2,1,43,2,1
7,17,3,29,2,210,2,4,1,67,1,1
4,23,18,29,3,357,5,1,2,33,2,4
4,13,16,29,4,1668,2,5,2,43,1,4
4,6,73,29,4,1664,12,4,2,28,2,4
6,4,2,29,1,121,1,1,1,62,1,2
8,8,1,29,2,223,7,2,1,38,2,2
5,24,1,29,3,314,9,5,1,23,2,1
4,1,2,15,2,210,2,4,1,67,1,1
4,3,1,29,2,224,11,2,1,57,1,2
7,16,2,29,3,314,9,5,1,23,2,1
7,5,3,29,2,223,7,2,1,38,2,2
6,13,3,29,1,12,3,1,1,43,2,1
4,28,7,29,4,1638,9,1,1,33,2,3
4,30,1,29,1,120,2,1,2,38,2,2
8,8,3,29,1,111,3,4,1,62,1,1
7,8,4,29,3,33,6,1,2,23,2,1
7,17,4,29,1,110,3,4,1,38,2,1
4,30,5,9,1,119,12,1,2,33,2,2
7,26,5,29,4,1661,1,3,2,28,2,4
6,8,1,46,1,16,3,2,1,43,2,1
7,9,1,29,1,113,1,5,1,28,2,1
8,5,4,29,4,1629,5,4,2,33,2,2
7,30,32,29,2,24,10,2,1,52,1,1
6,16,4,21,2,217,6,6,2,38,2,1
8,3,19,29,3,350,9,5,2,20,2,3
7,21,1,29,4,161,3,1,1,38,1,1
4,8,4,29,1,13,3,1,1,72,1,1
4,4,1,46,1,17,3,3,1,43,2,1
6,13,17,29,4,1616,7,6,1,33,2,1
7,17,6,29,1,112,2,4,1,38,2,1
6,12,5,29,2,215,9,5,1,38,2,1
4,20,9,29,2,21,4,1,1,57,1,1
6,2,3,29,3,35,11,2,1,48,1,1
7,3,3,29,4,1649,14,5,1,33,2,3
5,26,21,29,2,24,10,2,1,52,1,1
6,1,4,29,4,1633,9,5,1,43,1,2
6,16,19,29,4,162,3,1,1,28,2,1
7,15,5,29,1,138,6,1,1,62,1,3
6,19,13,29,3,357,5,1,2,33,2,4
7,6,16,29,4,1682,6,4,2,48,1,5
8,1,6,9,2,223,7,2,1,38,2,2
6,24,25,29,4,1623,6,2,2,28,2,2
8,4,4,29,2,22,3,1,2,57,1,1
8,7,2,29,3,311,7,4,1,33,2,1
7,8,2,29,4,1641,9,2,2,43,1,3
6,22,16,29,1,139,4,1,1,38,2,3
7,11,1,41,1,112,2,4,1,38,2,1
5,4,1,29,3,315,6,5,1,33,2,1
4,17,1,29,1,14,3,2,2,38,2,1
7,11,1,9,3,335,9,6,1,50,1,2
4,23,23,29,2,215,9,5,1,38,2,1
4,3,9,29,2,231,9,5,1,57,1,2
4,11,3,29,4,1663,14,3,2,28,2,4
5,27,34,29,4,168,2,3,1,28,2,1
5,3,21,29,3,317,14,6,1,48,1,1
5,28,1,29,2,210,2,4,1,67,1,1
4,3,8,9,3,325,2,3,1,33,2,2
6,12,18,43,1,135,14,6,2,33,2,2
8,8,1,29,1,111,3,4,1,62,1,1
5,27,10,29,3,39,6,3,1,48,1,1
6,4,1,29,4,1648,9,4,2,33,2,3
7,8,2,29,2,230,9,4,1,57,1,2
8,7,2,29,3,32,12,1,1,43,1,1
6,5,15,24,2,26,2,2,1,52,1,1
7,1,9,29,2,215,9,5,1,38,2,1
6,2,10,29,4,1612,4,4,1,33,2,1
4,30,2,29,1,115,14,5,2,33,2,1
6,18,5,29,2,227,2,3,1,57,1,2
5,25,5,29,4,166,2,2,1,43,1,1
5,14,8,29,4,1612,4,4,1,33,2,1
5,14,3,29,1,13,3,1,1,72,1,1
6,27,3,29,3,38,2,3,2,48,1,1
6,20,1,29,3,319,12,1,1,48,1,2
5,14,5,9,1,12,3,1,1,43,2,1
